review,movie,studio,release_date,genres,rate,author,date,link
"Ratatouille, Wall.E, The Incredibles, Finding Nemo, Monsters Inc, Up: the list of beloved Pixar movies is long. One of the few that’s almost never cited is Cars. But John Lasseter’s one-dimensional and visually sub-stellar 2006 tribute to American auto culture did rake in an awful lot of merchandise money. Its reboot, Cars 2 – is equally so-so.The last film was a tribute to Route 66, the American west and a 1951 Hudson Hornet. It was set in Radiator Springs, a place that its hero Lightning McQueen (voiced by Owen Wilson) dismissed at first as “hillbilly hell” before learning to love its decent, old-school ways. In Cars 2, Lasseter and co-director Brad Lewis have gone down the export route, relocating the action to Italy, Japan and swinging London.McQueen heads to these cities to compete in a World Grand Prix organised by oil tycoon Miles Axlerod (Eddie Izzard) as a showcase for his alternative energy business. He’s accompanied by pal Mater (Larry the Cable Guy), a rusty pick-up truck, who initially embarrasses him, but later, when it turns out that a plan has been hatched to blow up the champ, saves him with feats of bravery and ingenuity.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,lrbohnert,"Nov 25, 2016",https://www.metacritic.com/movie/cars-2/user-reviews
I kind of like it. It's not that bad. The plot sucks but once you look past that ..yeah. Pretty fun.,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",7,buzzspark,"Apr 15, 2018",https://www.metacritic.com/movie/cars-2/user-reviews
"Now this movies had (still gets)some pretty bad press and reviews, and I can see why but it's really not all that bad. Pretty good movie actually with beautiful animation, good music, interesting scenes and places, international race cars, Lightning McQueen and the it showed more of the Car world.The spy stuff and the plots involving oil, new fuel types, car discrimination and friendship might go over some kids heads but it is also rather interesting if you study it more. The only real issue that I have is with the character, Mater, himself. I am not a big Mater fan, of his personality type or humour but I can see why he appeals to kids and others, so maybe that's why he's the real star of this film.Basically the film revolves around a plot to turn people (the cars) towards a new fuel type that's supposed to be better for them, and an international race is there to promote the fuel. However, the new fuel is really just gasoline and by making the new fuel look bad, by hurting the racers using the fuel, the cars behind all this hope to turn people back to oil ( there's a huge new secret oil field discovered by these guys early o in the film)and get rich and powerful. The cars doing this are 'lemon' cars or ones who are not well made and break down frequently and get made fun of.So they feel rather angry at the world for their poor treatment.There are also spies (the good guys) from Britain, America, etc ( A rather James bond like one and a pretty purple Jaguar type)and Mater basically gets mixed up in all this whilst Lightning races against a heap of other racers, though this really isn't paid as much attention to as it should have been. It all ends with mater uncovering the lead villain, making up with McQueen after an argument and has messages like be yourself and accept others. Good messages for children I suppose. The movie made me smile and laugh with it's over the top nonsense and beautiful animation, as well as amusing my nephew and nieces. The main issue though (with many people) is still Mater and his bumbling ways, the lack of attention to the races and Lightning, plus there was some violence like the American spy getting blown up and the racers engines blowing out from a lazer but I have seen worse. Anyone remember Littlefoot's mother being injured and dying? Now that's painful and scary cartoon violence. There was also the fact that Lightning doesn't win in any major races and the other characters from Radiator Springs felt like they were put in just to fill space.plus for a movie promoting international race scenes they only went to 3 places, whilst if you look at the Cars 2 artbook you can see that various other types of races (endurance, outback and ice) were planned, in a variety of places like Russia and Germany. Why Pixar didn't focus more on or include these is beyond me. It would have appealed to many to see more races, race types and countries I think and less of the Mater/spy stuff.Still I do like the film and it isn't a depressing disappointment like Cars 3 is, so 8/10 for me. 2 of for Mater I'm afraid though.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,ladychaos,"Nov 22, 2017",https://www.metacritic.com/movie/cars-2/user-reviews
"This is not a bad movie, but it may be the first misfire from Pixar. Its effects are dazzling as ever, but unfortunately, it's not enough to conceal the weak and questionable plot.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,ErikTheCritic,"Oct 11, 2018",https://www.metacritic.com/movie/cars-2/user-reviews
"Clear, concise, intelligent and humorous - such is Cars 2. Cars was never my favorite Pixar, but coming out of the theater after seeing the sequel, I found myself smiling over a clever, well-thought, simply entertaining film. There is no deep, emotional story, but for entertainment this is by far extremely enjoyable. The humor is intelligent (not crude, suggestive or shallow like so many other animated films), the story moves at a solid, easy to understand pace and the characters are engaging. Mater is a character that is easy to root for with his positive outlook on life and his compassion toward everyone around him. When it comes to giving a good example of a nonjudgmental attitude, Mater is hard to beat. Finn McMissile has many of the typical spy characteristics, but goes beyond what we stereotypically think of the ""James Bond"" character by showing kindness and respect toward others. He openly admits his own shortcomings/need for help, while remaining debonair through it all. He doesn't even show the womanizing side so easily associated with the ""spy world"" and instead shows his female counterpart a great deal of respect.  Kudos to Pixar for their work on these characters. There is lots of ""eye candy"" in the depth of animation and the creative little touches to background motifs that make this world truly and mechanically unique. After seeing the film numerous times on various screens, I am still catching the little details placed in the film - all of which have never been of any suggestive nature inappropriate for a general viewing audience. This film also allows us a chance to look at some of our little idiosyncrasies in a fun way and gives positive messages such as friendship, compassion and honesty. While not for everyone - a caution to families with young children due to intense action sequences and suggested deaths - for older children through adults, Pixar's continued show of intelligent film making sets it apart from all other animation companies regardless of where the awards land.  As for what I witnessed during my various visits to the theater for this film, everyone was fully engaged - laughing, cheering and generally having a good time. We all left with smiles, which I think says a lot for the film. My money will remain on Pixar.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,JLWhiteHorse,"Mar  3, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"I honestly don't understand why this movie has taken such a beating. Personally, it's my least favorite Pixar movie, and it does have its share of problems, but I still enjoyed it. Why? Because I knew it wasn't meant be a tear-jerking masterpiece like Up or Toy Story 3 - it was meant to be a simple, fun, summer comedy. And it succeeds at that. It doesn't have to be emotional or profound in order to be good. It's nice to take a break from all that crying for a change! (Not that there's anything wrong with Pixar movies making you cry.) Sure, it's not Pixar's best by a long shot, but just because it isn't the next WALL-E or Toy Story or Finding Nemo doesn't mean that it isn't good. Kudos to Pixar for branching out, trying something different, and proving that they still don't know how to make a bad movie! 8/10.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,FlutterPie93,"Apr  5, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"I don't understand why this has low scores?  The movie was great, watched it in 3D with my daughter and we both loved it!  The locations, cars & story was great!",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,doughboy74,"Jun 28, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"Loved it, found it the best out of all of the other films. It has a lot of action and is just plain wonderful. I really really hope they make a new one, Cars 3.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,Gifari,"Oct 20, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"Cars 2 is Pixar's worst film to date, but that doesn't mean it's bad. It is a good film, but not a lot more, as some of the comedy isn't very funny and the plot isn't exactly top of the line. My main complaint of the film however is that it feels disjointed, giving you no time to get adjusted to ""Lightning's"" storyline, while also at times not giving you enough time to really get into ""Mater's"" storyline. It's odd that they shifted the focus of the main protagonist to Mater, which, while isn't necessarily bad, some will find it very off-putting. The film is fun, and this is where it holds up, making it a 6/10, also it has a good plot twist that I did not see happening at all. All in all, it's a fun film that shouldn't be overlooked, but it should really be called something like ""Cars: it's Materin' Time!"" as the story revolves around Mater, giving a fun Spy based film with explosions and everything, but certainly no Pixar masterpiece like we should be getting given their track record.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,Happymonk,"Jul 11, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"Ok this movie was hilarious, stop hating on Larry the cable guy. he maybe low brow but he's funny ok? stop trying to be so sophisticated and laugh you stuck up jerks. as for the violence and death of CARS!!!! its rated PG for a reason morons, it stands for Parental Guidance, which mean you guide your child into the theater and if they don't understand something you do your best to it explain to them when the movie is over. it is your responsibility to screen what your children watch NOT DISNEY/PIXAR. they have done their part by saying. ""HEY, GUESS WHAT? THIS MOVIE IS ABOUT SPIES. SPIES SOMETIMES KILL PEOPLE. THAT'S WHY WERE PUTTING A PG RATING ON THIS MOVIE"" just get over your selves you jerks.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,psbrown1989,"Sep 29, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"While Cars 2 is visually stunning, it is the first Pixar film to feel a bit empty at its shiny center.  Mater dominates the proceedings (a major part of the film's problem since he works better as a supporting player) unwittingly working as a spy while Lightning McQueen races in the World Grand Prix.   This is the first Pixar film that seems geared almost entirely for kids which is a bit of a disappointment.  Still, there is enough inventiveness and chuckles to makes it a tolerable vieweing experience.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,BKM,"Jul 18, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"While not the best Pixar film, still better than most animated films, and thourghly enjoyableThe haters rating it a 0 just because they want to see pixar fall is pathetic, nothing should deserve a 0",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,loserb0i,"Aug  1, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"""Cars 2"" does not meet the normal standards of other Pixar films, like ""Toy Story 3"" or ""Wall-E"". However, ""Cars 2"" is a major improvement from the first one. The soundtracks are awesome and resemble those of real spy movies. Overall, ""Cars 2"" is packed with action, but contains jokes that are lame and few boring, tedious scenes. Although ""Cars 2"" does not meet Pixar standards, it does a better job than other animated films. Yes, ""Cars 2"" is not the best movie, but it is a wonderful movie to watch during the summer and blow away your heat and sweat. The extra price for 3D is worth it and the visual effects are stunning! ""Cars 2"" is a disappointment, compared to films like ""Toy Story 3"" and ""Up"", but still manages to make the audience packed with action.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,sangwon95,"Jul 20, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
i loved this movie it was so beautiful in the lesson it taught that friends are friends and you cant expect them to change and i cant believe the critics hated it so much saying ooh it ventured from lighting mcqueen well i thought that cars 2 was great the way it was matter is the character most kids love not because he was a main character  but because hes funny over all i would give it a 90 out of 100,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,inuyashalover,"Jul 11, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"""FINALLY! IT HAPPENED! A PIXAR FILM HAS RECEIVED A ""ROTTEN"" ON ROTTEN TOMATOES!!! WE CAN FINALLY CELEBRATE!!!""Okay, fine, you can have your moment, guys (don't worry, that's the last time I'll bring them into this, because I don't want the joke to stale out). After years upon years of critical success, Pixar's first true ""misstep"" arrived in 2011 in the form of ""Cars 2,"" the sequel that not many were really craving in the first place, but it was made nonetheless and it became the first Pixar film to earn a ""rotten"" score on Rotten Tomatoes. Harsh, I know. All things considered, though, I personally enjoyed the film. I get why people didn't really like it (it wasn't the most poignant of Pixar films, nor was it the film with the most heart), but all in all, it was a really fun ride with some brilliant animation, exciting action scenes and good voice acting. Sure, it's silly, it's kiddy and it's not what we're used to out of Pixar, but ""Cars 2"" is still a pretty entertaining romp for the whole family.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,FreedomFighters,"Dec 12, 2016",https://www.metacritic.com/movie/cars-2/user-reviews
"This film had a very compelling story, a relatable cast of characters, and beautiful settings. The spy plot complemented the story very well, I thought the shift of focus from McQueen to Mater was done perfectly. I really liked characters like Francesco and Finn. The film begins with an exciting and suspenseful scene on an oil rig, letting us know the character Finn will be, and giving us a taste of what the movie will be like. I also like the scene with the ""Lemon Party"" It was a very crucial and important scene that was very intense serious and suspenseful, this was complemented by Maters happy-go-lucky attitude. The film ends with Mater getting knighted in honor of his efforts to save London. This had to be one of the most beautiful moments in film history. After that, Mater and the gang went back to Radiator Springs, completing the hero's journey. In my words, Cars 2 has to be one of the best films is Cinema History",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,yespacitler,"Sep 14, 2018",https://www.metacritic.com/movie/cars-2/user-reviews
"There are some thoughts that people will think that they gonna hate the sequel, and so does the original that the audience won't like the premise of Cars. I know people likes it or hates it, but I have to say that Cars 2 was really fun to watch and it's very exciting adventure better than the first one. The only thing that I really like in this sequel is secret agents, countries, action, adventure, and new fancy places. That's all I really enjoy myself watching this. Anyways, the story is more better developed that they make a new idea for the sequel that Lighting McQueen and Mater are going to the international world cup to win the race and then there are two secret agent spies that are facing with the bad villain who wants to destroy the cars who filled with oil. The voice acting did great and I really enjoy the new characters that they can bring more fun and more exciting to be decent and cool. The animation is pretty cool and the action scenes were awesome. I really like when the cars are chasing around with guns, explosions, and high-tech gadgets in everywhere that they race. But for my opinion, that I take it back when this movie will not be exciting as now and there's more that they came from where people think it's gonna be suck, so it's nice to make a better sequel once again for making a better cars animation. They know exactly what they can do for it and those animators are having fun for it. So that case, see this movie and see how fun that this movie will take more advantage for better animation, if you think so.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,DarkCritic,"Jun 24, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"My 3.5 year old boy loves all Pixar movies, as do I. Cars 2 should be rated PG, not G, as it IS very violent. Guns, explosions, and killing/death are what the entire movie consists of, oh yeah and racing. We are trying to limit the amount of violence/weapons our son intakes. If you remember, even in Toy Story, Woody never had a gun in his holster, always empty.  I don't necesarily mind that Pixar went this route cause it's not there job to cater to young children. I am however disapointed that the MPAA approved a G rating for this film when it CLEARLY should be PG.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",4,DrGhettoblaster,"Jun 28, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"Read some of the reviews and I'm suprised by the responses.  The movie was great in my opinion.  My young son loved it.  The audience, including myself, laughed out loud continually throughout the movie.  Overall it was at least just as good as the first movie, if not better.  As usual pixar runs away with superior animation.  There were lots of humor designed for kids and adults.  This time around the movie was more centered around Mator rather than Mcqueen.  I am going to go against the grain here and say that the plot and storyline were well laid out and put together quite well.  If you like Pixar and the first cars movie, there is no reason you will not like this movie.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,pisces4200,"Jun 24, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"I don't understand where all the hate comes from. This movie rocks! It's hilariously funny, it has a powerfully deep message, the characters are so lovable and relatable, and the movie is just so much fun! I thought the first Cars was better, but still loved Cars 2. Ignore the losers on Rotten Tomatoes! Cars 2 is definitely worth seeing (maybe even twice)!",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,ShaZayum1993,"Jun 24, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
Very good sequel to a great animated film.,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",9,Rikiege,"Dec  7, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"Truly the weakest pixar movie.It emphasised on random subplots,it was entertatining but i expected alot more!!! plus there is no racing this time so...yeah",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",4,AgentHeroes,"Jun 27, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"I saw Cars 2 expecting it to be amazing since Cars was my favourite childhood movie and it was amazing. It was the best Pixar, has the best soundtrack for a pixar and one of the best movies I've ever seen. This was the sequal to my favourite childhood film and it was amazing!",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,CWCgamer,"Aug 13, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"I thought Pixar was better than this. I thought they were above doing cashgrabs. Well, looks like they've been corupted. Cars 2 is a movie that's made only for the money, and it shows. Yes, it's got great animation, good voice acting, and fun action, but everything else is so below Pixar's and even Dreamworks's level. It's very unfunny, Mater was so annoying, the story was so boring, thrown together, and hollow, and the whole movie is just a very mediocre and boring animated movie. C'mon Pixar. You're better than this crap.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",4,Bullet97,"Jun 24, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"The movie is overly creative with a complex story-telling that is not quite for the kids to understand. I know that Pixar can do better, and I hope they will.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,grandpajoe6191,"Sep 18, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
